Module Name,Artifact Name,Search Pattern,List File Name,Count,Search Time (s)
serialNumber,serialNumber,*/Library/Caches/locationd/consolidated.db*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,3,0.9096
serialNumber,serialNumber,*/Library/Caches/locationd/consolidated.db*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,3,0.1602
serialNumber,serialNumber,*/Library/Caches/locationd/consolidated.db*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,3,0.6702
tileApp,tileApp,*/mobile/Containers/Data/Application/*/Library/log/com.thetileapp.tile*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,0,0.8722
tileApp,tileApp,*/mobile/Containers/Data/Application/*/Library/log/com.thetileapp.tile*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,0,0.1444
tileApp,tileApp,*/mobile/Containers/Data/Application/*/Library/log/com.thetileapp.tile*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,0,0.6948
DataUsage,datausage,*/wireless/Library/Databases/DataUsage.sqlite*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,3,0.9620
DataUsage,datausage,*/wireless/Library/Databases/DataUsage.sqlite*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,3,0.1518
DataUsage,datausage,*/wireless/Library/Databases/DataUsage.sqlite*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,3,0.6671
biomeAppinstall,biomeAppinstall,*/Biome/streams/restricted/_DKEvent.App.Install/local/*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,0,0.8849
biomeAppinstall,biomeAppinstall,*/Biome/streams/restricted/App.Install/local/*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,0,0.8788
biomeAppinstall,biomeAppinstall,*/Biome/streams/restricted/_DKEvent.App.Install/local/*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,2,0.1483
biomeAppinstall,biomeAppinstall,*/Biome/streams/restricted/App.Install/local/*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,0,0.1496
biomeAppinstall,biomeAppinstall,*/Biome/streams/restricted/_DKEvent.App.Install/local/*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,2,0.6961
biomeAppinstall,biomeAppinstall,*/Biome/streams/restricted/App.Install/local/*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,0,0.6632
safariFavicons,safariFavicons,*/Containers/Data/Application/*/Library/Image Cache/Favicons/Favicons.db*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,4,0.8795
safariFavicons,safariFavicons,*/Containers/Data/Application/*/Library/Image Cache/Favicons/Favicons.db*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,4,0.1499
safariFavicons,safariFavicons,*/Containers/Data/Application/*/Library/Image Cache/Favicons/Favicons.db*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,4,0.6612
Ph10AssetParsedEmbeddedFiles,Ph10-1-Assets have embedded files-PhDaPsql,*/PhotoData/Photos.sqlite*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,3,0.9032
Ph10AssetParsedEmbeddedFiles,Ph10-1-Assets have embedded files-PhDaPsql,*/PhotoData/Photos.sqlite*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,3,0.1509
Ph10AssetParsedEmbeddedFiles,Ph10-1-Assets have embedded files-PhDaPsql,*/PhotoData/Photos.sqlite*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,3,0.6783
Ph10AssetParsedEmbeddedFiles,Ph10-2-Assets have embedded files-SyndPL,*/mobile/Library/Photos/Libraries/Syndication.photoslibrary/database/Photos.sqlite*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,3,0.8779
Ph10AssetParsedEmbeddedFiles,Ph10-2-Assets have embedded files-SyndPL,*/mobile/Library/Photos/Libraries/Syndication.photoslibrary/database/Photos.sqlite*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,3,0.1465
Ph10AssetParsedEmbeddedFiles,Ph10-2-Assets have embedded files-SyndPL,*/mobile/Library/Photos/Libraries/Syndication.photoslibrary/database/Photos.sqlite*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,3,0.6495
biomeBluetooth,biomeBluetooth,*/Biome/streams/restricted/Device.Wireless.Bluetooth/local/*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,0,0.8996
biomeBluetooth,biomeBluetooth,*/Biome/streams/restricted/Device.Wireless.Bluetooth/local/*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,0,0.1529
biomeBluetooth,biomeBluetooth,*/Biome/streams/restricted/Device.Wireless.Bluetooth/local/*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,0,0.6781
addressBook,addressbook,*/mobile/Library/AddressBook/AddressBook*.sqlitedb*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,6,0.8879
addressBook,addressbook,*/mobile/Library/AddressBook/AddressBook*.sqlitedb*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,6,0.1484
addressBook,addressbook,*/mobile/Library/AddressBook/AddressBook*.sqlitedb*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,6,0.7303
simInfo,siminfo,*/com.apple.commcenter.data.plist,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,1,0.3162
simInfo,siminfo,*/com.apple.commcenter.data.plist,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,1,0.0534
simInfo,siminfo,*/com.apple.commcenter.data.plist,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,1,0.2343
biomeDevWifi,biomeDevWifi,*/Biome/streams/restricted/Device.Wireless.WiFi/local/*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,0,0.9004
biomeDevWifi,biomeDevWifi,*/Biome/streams/restricted/Device.Wireless.WiFi/local/*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,2,0.1461
biomeDevWifi,biomeDevWifi,*/Biome/streams/restricted/Device.Wireless.WiFi/local/*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,2,0.6783
mediaLibrary,mediaLibrary,**/Medialibrary.sqlitedb*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,0,0.8935
mediaLibrary,mediaLibrary,**/Medialibrary.sqlitedb*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,0,0.1503
mediaLibrary,mediaLibrary,**/Medialibrary.sqlitedb*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,0,0.6837
biomeBattperc,biomeBattperc,*/biome/streams/restricted/_DKEvent.Device.BatteryPercentage/local/*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,0,0.8924
biomeBattperc,biomeBattperc,*/biome/streams/restricted/_DKEvent.Device.BatteryPercentage/local/*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,2,0.1471
biomeBattperc,biomeBattperc,*/biome/streams/restricted/_DKEvent.Device.BatteryPercentage/local/*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,2,0.6680
bumble,bumble,**/Library/Caches/Chat.sqlite*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,0,0.8928
bumble,bumble,**/Documents/yap-database.sqlite*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,0,0.8894
bumble,bumble,**/Library/Caches/Chat.sqlite*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,0,0.1522
bumble,bumble,**/Documents/yap-database.sqlite*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,0,0.1380
bumble,bumble,**/Library/Caches/Chat.sqlite*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,0,0.7269
bumble,bumble,**/Documents/yap-database.sqlite*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,0,0.6666
biomeAirpMode,biomeAirpMode,*/Biome/streams/restricted/_DKEvent.System.AirplaneMode/local/*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,0,0.8962
biomeAirpMode,biomeAirpMode,*/Biome/streams/restricted/_DKEvent.System.AirplaneMode/local/*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,0,0.1481
biomeAirpMode,biomeAirpMode,*/Biome/streams/restricted/_DKEvent.System.AirplaneMode/local/*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,1,0.6654
photosMetadata,photosMetadata,*/mobile/Media/PhotoData/Photos.sqlite*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,3,0.8919
photosMetadata,photosMetadata,*/mobile/Media/PhotoData/Photos.sqlite*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,3,0.1517
photosMetadata,photosMetadata,*/mobile/Media/PhotoData/Photos.sqlite*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,3,0.6684
Ph35iCloudSharedLinkAssets,Ph35-iCloud Shared Link Assets-PhDaPsql,*/PhotoData/Photos.sqlite*,josh-hickman-ios15.csv.zip/josh-hickman-ios15.csv,3,0.9217
Ph35iCloudSharedLinkAssets,Ph35-iCloud Shared Link Assets-PhDaPsql,*/PhotoData/Photos.sqlite*,belkasoft-ctf6-ios-dev1.csv.zip2.zip/belkasoft-ctf6-ios-dev1.csv,3,0.1501
Ph35iCloudSharedLinkAssets,Ph35-iCloud Shared Link Assets-PhDaPsql,*/PhotoData/Photos.sqlite*,magnet-mvs-2023-ios.csv.zip2.zip/magnet-mvs-2023-ios.csv,3,0.6944
