Module,Artifact,Header Name,SQL Safe Header Name,Type
DataUsage,get_DataUsage,"""Last Connect Timestamp""",last_connect_timestamp,datetime
DataUsage,get_DataUsage,"""First Usage Timestamp""",first_usage_timestamp,datetime
DataUsage,get_DataUsage,"""Last Usage Timestamp""",last_usage_timestamp,datetime
DataUsage,get_DataUsage,"""Bundle Name""",bundle_name,
DataUsage,get_DataUsage,"""Process Name""",process_name,
DataUsage,get_DataUsage,"""Entry Type""",entry_type,
DataUsage,get_DataUsage,"""Mobile/WWAN In (Bytes)""",mobilewwan_in_bytes,
DataUsage,get_DataUsage,"""Mobile/WWAN Out (Bytes)""",mobilewwan_out_bytes,
biomeAppinstall,get_biomeAppinstall,"""SEGB Timestamp""",segb_timestamp,datetime
biomeAppinstall,get_biomeAppinstall,"""Timestamp""",timestamp,datetime
biomeAppinstall,get_biomeAppinstall,"""Time End""",time_end,datetime
biomeAppinstall,get_biomeAppinstall,"""Time Write""",time_write,datetime
biomeAppinstall,get_biomeAppinstall,"""SEGB State""",segb_state,
biomeAppinstall,get_biomeAppinstall,"""Activity""",activity,
biomeAppinstall,get_biomeAppinstall,"""Bundle ID""",bundle_id,
biomeAppinstall,get_biomeAppinstall,"""Bundle Info""",bundle_info,
biomeAppinstall,get_biomeAppinstall,"""App Info""",app_info,
biomeAppinstall,get_biomeAppinstall,"""App Info2""",app_info2,
biomeAppinstall,get_biomeAppinstall,"""Action GUID""",action_guid,
biomeAppinstall,get_biomeAppinstall,"""Filename""",filename,
biomeAppinstall,get_biomeAppinstall,"""Offset""",offset,
ConnectedDeviceInformation,ConnectedDeviceInformation_DeviceHistory,"""Start Time""",start_time,datetime
ConnectedDeviceInformation,ConnectedDeviceInformation_DeviceHistory,"""End Time""",end_time,datetime
ConnectedDeviceInformation,ConnectedDeviceInformation_DeviceHistory,"""Product Origin (Common Name)""",product_origin_common_name,
ConnectedDeviceInformation,ConnectedDeviceInformation_DeviceHistory,"""Product Origin""",product_origin,
ConnectedDeviceInformation,ConnectedDeviceInformation_DeviceHistory,"""Source ID""",source_id,
ConnectedDeviceInformation,ConnectedDeviceInformation_DeviceHistory,"""iOS / WatchOS Version""",ios_watchos_version,
ConnectedDeviceInformation,ConnectedDeviceInformation_ConsolidatedConnectedDeviceHistory,"""Start Time""",start_time,datetime
ConnectedDeviceInformation,ConnectedDeviceInformation_ConsolidatedConnectedDeviceHistory,"""End Time""",end_time,datetime
ConnectedDeviceInformation,ConnectedDeviceInformation_ConsolidatedConnectedDeviceHistory,"""Product Origin (Common Name)""",product_origin_common_name,
ConnectedDeviceInformation,ConnectedDeviceInformation_ConsolidatedConnectedDeviceHistory,"""Product Origin""",product_origin,
ConnectedDeviceInformation,ConnectedDeviceInformation_CurrentDeviceInfo,"""Modified Time""",modified_time,datetime
ConnectedDeviceInformation,ConnectedDeviceInformation_CurrentDeviceInfo,"""Device Origin (Common Name)""",device_origin_common_name,
ConnectedDeviceInformation,ConnectedDeviceInformation_CurrentDeviceInfo,"""Device Origin""",device_origin,
ConnectedDeviceInformation,ConnectedDeviceInformation_CurrentDeviceInfo,"""OS Version""",os_version,
appleTimers,timer,"""Timer Title""",timer_title,
appleTimers,timer,"""Timer State""",timer_state,
appleTimers,timer,"""Timer Time""",timer_time,
appleTimers,timer,"""First Date""",first_date,datetime
appleTimers,timer,"""Last Modified""",last_modified,datetime
appleTimers,timer,"""Timer Sound""",timer_sound,
appleAlarms,alarms,"""Fire Date""",fire_date,datetime
appleAlarms,alarms,"""Alarm Time""",alarm_time,datetime
appleAlarms,alarms,"""Alarm Title""",alarm_title,
appleAlarms,alarms,"""Alarm Enabled""",alarm_enabled,
appleAlarms,alarms,"""Dismiss Date""",dismiss_date,datetime
appleAlarms,alarms,"""Last Modified""",last_modified,datetime
appleAlarms,alarms,"""Repeat Schedule""",repeat_schedule,
appleAlarms,alarms,"""Alarm Sound""",alarm_sound,
appleAlarms,alarms,"""Is Sleep Alarm""",is_sleep_alarm,
appleAlarms,alarms,"""Bedtime Not Disturbed""",bedtime_not_disturbed,
appleAlarms,alarms,"""Bedtime Fire Date""",bedtime_fire_date,
biomeBluetooth,get_biomeBluetooth,"""SEGB Timestamp""",segb_timestamp,datetime
biomeBluetooth,get_biomeBluetooth,"""SEGB State""",segb_state,
biomeBluetooth,get_biomeBluetooth,"""MAC""",mac,
biomeBluetooth,get_biomeBluetooth,"""Name""",name,
biomeBluetooth,get_biomeBluetooth,"""Filename""",filename,
biomeBluetooth,get_biomeBluetooth,"""Offset""",offset,
addressBook,addressBook,"""Creation Date""",creation_date,datetime
addressBook,addressBook,"""Thumbnail""",thumbnail,media
addressBook,addressBook,"""Full Size Image""",full_size_image,media
addressBook,addressBook,"""Prefix""",prefix,
addressBook,addressBook,"""First Name""",first_name,
addressBook,addressBook,"""Middle Name""",middle_name,
addressBook,addressBook,"""Last Name""",last_name,
addressBook,addressBook,"""Suffix""",suffix,
addressBook,addressBook,"""Display Name""",display_name,
addressBook,addressBook,"""First Name Phonetic""",first_name_phonetic,
addressBook,addressBook,"""Middle Name Phonetic""",middle_name_phonetic,
addressBook,addressBook,"""Last Name Phonetic""",last_name_phonetic,
addressBook,addressBook,"""Company""",company,
addressBook,addressBook,"""Department""",department,
addressBook,addressBook,"""Job Title""",job_title,
addressBook,addressBook,"""Phone Numbers""",phone_numbers,phonenumber
addressBook,addressBook,"""Email addresses""",email_addresses,
addressBook,addressBook,"""Addresses""",addresses,
addressBook,addressBook,"""Instant Messages""",instant_messages,
addressBook,addressBook,"""URL""",url,
addressBook,addressBook,"""Related Names""",related_names,
addressBook,addressBook,"""Profiles""",profiles,
addressBook,addressBook,"""Nickname""",nickname,
addressBook,addressBook,"""Notes""",notes,
addressBook,addressBook,"""Birthday""",birthday,
addressBook,addressBook,"""Group Name""",group_name,
addressBook,addressBook,"""Storage Place""",storage_place,
addressBook,addressBook,"""Modification Date""",modification_date,datetime
biomeDevWifi,get_biomeDevWifi,"""SEGB Timestamp""",segb_timestamp,datetime
biomeDevWifi,get_biomeDevWifi,"""SEGB State""",segb_state,
biomeDevWifi,get_biomeDevWifi,"""SSID""",ssid,
biomeDevWifi,get_biomeDevWifi,"""Status""",status,
biomeDevWifi,get_biomeDevWifi,"""Filename""",filename,
biomeDevWifi,get_biomeDevWifi,"""Offset""",offset,
biomeBattperc,get_biomeBattperc,"""SEGB Timestamp""",segb_timestamp,datetime
biomeBattperc,get_biomeBattperc,"""Time Start""",time_start,datetime
biomeBattperc,get_biomeBattperc,"""Time End""",time_end,datetime
biomeBattperc,get_biomeBattperc,"""Time Write""",time_write,datetime
biomeBattperc,get_biomeBattperc,"""SEGB State""",segb_state,
biomeBattperc,get_biomeBattperc,"""Activity""",activity,
biomeBattperc,get_biomeBattperc,"""Battery Percentage""",battery_percentage,
biomeBattperc,get_biomeBattperc,"""Action GUID""",action_guid,
biomeBattperc,get_biomeBattperc,"""Filename""",filename,
biomeBattperc,get_biomeBattperc,"""Offset""",offset,
biomeAirpMode,get_biomeAirpMode,"""SEGB Timestamp""",segb_timestamp,datetime
biomeAirpMode,get_biomeAirpMode,"""Timestamp""",timestamp,datetime
biomeAirpMode,get_biomeAirpMode,"""Timestamp2""",timestamp2,datetime
biomeAirpMode,get_biomeAirpMode,"""SEGB State""",segb_state,
biomeAirpMode,get_biomeAirpMode,"""Event""",event,
biomeAirpMode,get_biomeAirpMode,"""GUID""",guid,
biomeAirpMode,get_biomeAirpMode,"""Filename""",filename,
biomeAirpMode,get_biomeAirpMode,"""Offset""",offset,
Ph35iCloudSharedLinkAssets,Ph35iCloudSharedLinkAssetsPhDaPsql,"""zShare-Creation Date-0""",zsharecreation_date0,datetime
Ph35iCloudSharedLinkAssets,Ph35iCloudSharedLinkAssetsPhDaPsql,"""zShare-Start Date-1""",zsharestart_date1,datetime
Ph35iCloudSharedLinkAssets,Ph35iCloudSharedLinkAssetsPhDaPsql,"""zShare-End Date-2""",zshareend_date2,datetime
Ph35iCloudSharedLinkAssets,Ph35iCloudSharedLinkAssetsPhDaPsql,"""zShare-Expiry Date-3""",zshareexpiry_date3,datetime
Ph35iCloudSharedLinkAssets,Ph35iCloudSharedLinkAssetsPhDaPsql,"""zAsset-Date Created-4""",zassetdate_created4,datetime
Ph35iCloudSharedLinkAssets,Ph35iCloudSharedLinkAssetsPhDaPsql,"""zAsset-zPK-5""",zassetzpk5,
Ph35iCloudSharedLinkAssets,Ph35iCloudSharedLinkAssetsPhDaPsql,"""zAsset-Directory-Path-6""",zassetdirectorypath6,
Ph35iCloudSharedLinkAssets,Ph35iCloudSharedLinkAssetsPhDaPsql,"""zAsset-Filename-7""",zassetfilename7,
Ph35iCloudSharedLinkAssets,Ph35iCloudSharedLinkAssetsPhDaPsql,"""zAddAssetAttr- Original Filename-8""",zaddassetattr_original_filename8,
Ph35iCloudSharedLinkAssets,Ph35iCloudSharedLinkAssetsPhDaPsql,"""zCldMast- Original Filename-9""",zcldmast_original_filename9,
Ph35iCloudSharedLinkAssets,Ph35iCloudSharedLinkAssetsPhDaPsql,"""zAddAssetAttr- Syndication Identifier-SWY-Files-10""",zaddassetattr_syndication_identifierswyfiles10,
Ph35iCloudSharedLinkAssets,Ph35iCloudSharedLinkAssetsPhDaPsql,"""zAsset-Syndication State-11""",zassetsyndication_state11,
Ph35iCloudSharedLinkAssets,Ph35iCloudSharedLinkAssetsPhDaPsql,"""zAsset-Bundle Scope-12""",zassetbundle_scope12,
Ph35iCloudSharedLinkAssets,Ph35iCloudSharedLinkAssetsPhDaPsql,"""zAddAssetAttr-Imported by-13""",zaddassetattrimported_by13,
Ph35iCloudSharedLinkAssets,Ph35iCloudSharedLinkAssetsPhDaPsql,"""zExtAttr-Camera Make-14""",zextattrcamera_make14,
Ph35iCloudSharedLinkAssets,Ph35iCloudSharedLinkAssetsPhDaPsql,"""zExtAttr-Camera Model-15""",zextattrcamera_model15,
Ph35iCloudSharedLinkAssets,Ph35iCloudSharedLinkAssetsPhDaPsql,"""zAddAssetAttr- Imported by Bundle Identifier-16""",zaddassetattr_imported_by_bundle_identifier16,
Ph35iCloudSharedLinkAssets,Ph35iCloudSharedLinkAssetsPhDaPsql,"""zAddAssetAttr- Imported By Display Name-17""",zaddassetattr_imported_by_display_name17,
Ph35iCloudSharedLinkAssets,Ph35iCloudSharedLinkAssetsPhDaPsql,"""zAsset-Visibility State-18""",zassetvisibility_state18,
Ph35iCloudSharedLinkAssets,Ph35iCloudSharedLinkAssetsPhDaPsql,"""zAsset-Saved Asset Type-19""",zassetsaved_asset_type19,
Ph35iCloudSharedLinkAssets,Ph35iCloudSharedLinkAssetsPhDaPsql,"""zAddAssetAttr-Share Type-20""",zaddassetattrshare_type20,
