Module Name,Artifact Name,Search Pattern,List File Name,Count,Search Time (s)
serialNumber,serialNumber,*/Library/Caches/locationd/consolidated.db*,josh-hickman-ios15.csv,3,0.8830
serialNumber,serialNumber,*/Library/Caches/locationd/consolidated.db*,belkasoft-ctf6-ios-dev1.csv,3,0.1447
serialNumber,serialNumber,*/Library/Caches/locationd/consolidated.db*,magnet-mvs-2023-ios.csv,3,0.6552
DataUsage,datausage,*/wireless/Library/Databases/DataUsage.sqlite*,josh-hickman-ios15.csv,3,0.8754
DataUsage,datausage,*/wireless/Library/Databases/DataUsage.sqlite*,belkasoft-ctf6-ios-dev1.csv,3,0.1432
DataUsage,datausage,*/wireless/Library/Databases/DataUsage.sqlite*,magnet-mvs-2023-ios.csv,3,0.6607
Ph10AssetParsedEmbeddedFiles,Ph10-1-Assets have embedded files-PhDaPsql,*/PhotoData/Photos.sqlite*,josh-hickman-ios15.csv,3,0.8788
Ph10AssetParsedEmbeddedFiles,Ph10-1-Assets have embedded files-PhDaPsql,*/PhotoData/Photos.sqlite*,belkasoft-ctf6-ios-dev1.csv,3,0.1393
Ph10AssetParsedEmbeddedFiles,Ph10-1-Assets have embedded files-PhDaPsql,*/PhotoData/Photos.sqlite*,magnet-mvs-2023-ios.csv,3,0.6463
Ph10AssetParsedEmbeddedFiles,Ph10-2-Assets have embedded files-SyndPL,*/mobile/Library/Photos/Libraries/Syndication.photoslibrary/database/Photos.sqlite*,josh-hickman-ios15.csv,3,0.8605
Ph10AssetParsedEmbeddedFiles,Ph10-2-Assets have embedded files-SyndPL,*/mobile/Library/Photos/Libraries/Syndication.photoslibrary/database/Photos.sqlite*,belkasoft-ctf6-ios-dev1.csv,3,0.1405
Ph10AssetParsedEmbeddedFiles,Ph10-2-Assets have embedded files-SyndPL,*/mobile/Library/Photos/Libraries/Syndication.photoslibrary/database/Photos.sqlite*,magnet-mvs-2023-ios.csv,3,0.6484
addressBook,addressbook,*/mobile/Library/AddressBook/AddressBook*.sqlitedb*,josh-hickman-ios15.csv,6,0.8771
addressBook,addressbook,*/mobile/Library/AddressBook/AddressBook*.sqlitedb*,belkasoft-ctf6-ios-dev1.csv,6,0.1431
addressBook,addressbook,*/mobile/Library/AddressBook/AddressBook*.sqlitedb*,magnet-mvs-2023-ios.csv,6,0.6573
