pattern_id,pattern,match_count,seconds
1,*/Library/Caches/locationd/consolidated.db*,3,57.778875
2,*/mobile/Containers/Data/Application/*/Library/log/com.thetileapp.tile*,0,1.799635
3,*/wireless/Library/Databases/DataUsage.sqlite*,3,1.757713
4,*/Biome/streams/restricted/_DKEvent.App.Install/local/*,0,1.836644
5,*/Biome/streams/restricted/App.Install/local/*,0,1.836224
6,*/Containers/Data/Application/*/Library/Image Cache/Favicons/Favicons.db*,4,1.891582
7,*Health/healthdb_secure.sqlite*,3,1.863732
8,*Health/healthdb.sqlite*,3,1.998917
9,*/mobile/Containers/Data/Application/*/.com.apple.mobile_container_manager.metadata.plist,179,1.854019
10,*/mobile/Containers/Data/Application/*/Preferences/*.plist,251,2.052616
11,*/mobile/Library/Preferences/com.apple.mobiletimerd.plist,1,0.549787
12,*/PhotoData/Photos.sqlite*,3,1.879144
13,*/mobile/Library/Photos/Libraries/Syndication.photoslibrary/database/Photos.sqlite*,3,1.829620
14,*/Biome/streams/restricted/Device.Wireless.Bluetooth/local/*,0,1.883219
15,*/mobile/Library/AddressBook/AddressBook*.sqlitedb*,6,1.858312
16,*/com.apple.commcenter.data.plist,1,0.512084
17,*/Biome/streams/restricted/Device.Wireless.WiFi/local/*,0,1.956975
18,**/Medialibrary.sqlitedb*,0,1.964801
19,*/biome/streams/restricted/_DKEvent.Device.BatteryPercentage/local/*,0,2.020138
20,**/Library/Caches/Chat.sqlite*,0,2.020160
21,**/Documents/yap-database.sqlite*,0,1.967487
22,*/Biome/streams/restricted/_DKEvent.System.AirplaneMode/local/*,0,1.940687
23,*/mobile/Media/PhotoData/Photos.sqlite*,3,1.998068
24,*/biome/streams/restricted/_DKEvent.Device.IsPluggedIn/local/*,0,1.932723
25,*/mobile/Containers/Shared/AppGroup/*/Library/Preferences/group.com.apple.weather.plist,1,1.888865
26,**/mobile_installation.log.*,2,1.894371
27,**/sysdiagnose_*.tar.gz,0,1.877855
28,*DuetExpertCenter/_ATXDataStore.db*,3,1.825347
29,*routined/Local.sqlite*,3,1.800724
30,*/Caches/com.apple.findmy.fmipcore/Items.data,1,0.501502
31,*/Library/Caches/locationd/cache.plist,1,0.486442
32,*wireless/Library/Preferences/com.apple.commcenter.device_specific_nobackup.plist,1,0.406291
33,*/*.torrent,0,0.488475
34,*/Vipps.sqlite*,0,1.859556
35,*/root/.obliterated,1,0.513473
36,*/Biome/streams/public/TextInputSession/local/*,2,1.866025
37,*/Biome/streams/restricted/Text.InputSession/local/*,0,2.417250
38,*/Messaging_*.sqlite*,0,1.977666
39,*/.ash_history,0,0.611453
40,*/MTLibrary.sqlite*,0,1.952546
41,*/Documents/AllTrails.sqlite*,3,1.896362
42,*/logarchive*.json,0,1.910432
43,*/Biome/streams/restricted/UserActivityMetadata/local*,2,1.883237
44,**/AP.db*,3,1.908242
45,*/root/Library/Lockdown/data_ark.plist,1,0.506725
46,**/EngagedCompletions/Cache.db*,1,1.889192
47,*/mobile/Library/Accounts/Accounts3.sqlite*,3,1.834229
48,*/mobile/Containers/Data/Application/*/Documents/PayByPhone.sqlite*,0,1.835390
49,*/AppIntent/local/*,3,1.788962
50,*/mobile/Containers/Shared/AppGroup/*/CallHistory.sqlite*,3,1.857066
51,*/mobile/Containers/Shared/AppGroup/*/ContactsV2.sqlite*,3,1.802354
52,*/mobile/Containers/Shared/AppGroup/*/ChatStorage.sqlite*,3,1.857674
