pattern_id,pattern,match_count,seconds
1,*/Library/Caches/locationd/consolidated.db*,3,0.104874
2,*/mobile/Containers/Data/Application/*/Library/log/com.thetileapp.tile*,0,0.151264
3,*/wireless/Library/Databases/DataUsage.sqlite*,3,0.083392
4,*/Biome/streams/restricted/_DKEvent.App.Install/local/*,0,1.686122
5,*/Biome/streams/restricted/App.Install/local/*,0,1.367044
6,*/Containers/Data/Application/*/Library/Image Cache/Favicons/Favicons.db*,3,0.008149
7,*Health/healthdb_secure.sqlite*,3,0.093884
8,*Health/healthdb.sqlite*,3,0.089361
9,*/mobile/Containers/Data/Application/*/.com.apple.mobile_container_manager.metadata.plist,179,0.006309
10,*/mobile/Containers/Data/Application/*/Preferences/*.plist,251,0.126196
11,*/mobile/Library/Preferences/com.apple.mobiletimerd.plist,1,0.002173
12,*/PhotoData/Photos.sqlite*,3,0.000458
13,*/mobile/Library/Photos/Libraries/Syndication.photoslibrary/database/Photos.sqlite*,3,0.000477
14,*/Biome/streams/restricted/Device.Wireless.Bluetooth/local/*,0,1.382227
15,*/mobile/Library/AddressBook/AddressBook*.sqlitedb*,6,0.023335
16,*/com.apple.commcenter.data.plist,1,0.061095
17,*/Biome/streams/restricted/Device.Wireless.WiFi/local/*,0,1.340432
18,**/Medialibrary.sqlitedb*,0,1.360067
19,*/biome/streams/restricted/_DKEvent.Device.BatteryPercentage/local/*,0,1.320429
20,**/Library/Caches/Chat.sqlite*,0,0.118989
21,**/Documents/yap-database.sqlite*,0,0.113450
22,*/Biome/streams/restricted/_DKEvent.System.AirplaneMode/local/*,0,1.313054
23,*/mobile/Media/PhotoData/Photos.sqlite*,3,0.000359
24,*/biome/streams/restricted/_DKEvent.Device.IsPluggedIn/local/*,0,1.367831
25,*/mobile/Containers/Shared/AppGroup/*/Library/Preferences/group.com.apple.weather.plist,1,0.001034
26,**/mobile_installation.log.*,2,1.376078
27,**/sysdiagnose_*.tar.gz,0,1.329406
28,*DuetExpertCenter/_ATXDataStore.db*,3,0.083924
29,*routined/Local.sqlite*,3,0.090095
30,*/Caches/com.apple.findmy.fmipcore/Items.data,1,0.059572
31,*/Library/Caches/locationd/cache.plist,1,0.061453
32,*wireless/Library/Preferences/com.apple.commcenter.device_specific_nobackup.plist,1,0.058363
33,*/*.torrent,0,0.397240
34,*/Vipps.sqlite*,0,0.102890
35,*/root/.obliterated,1,0.066328
36,*/Biome/streams/public/TextInputSession/local/*,2,1.316879
37,*/Biome/streams/restricted/Text.InputSession/local/*,0,1.360459
38,*/Messaging_*.sqlite*,0,0.107877
39,*/.ash_history,0,0.057958
40,*/MTLibrary.sqlite*,0,0.110031
41,*/Documents/AllTrails.sqlite*,3,0.084401
42,*/logarchive*.json,0,1.363361
43,*/Biome/streams/restricted/UserActivityMetadata/local*,2,1.312545
44,**/AP.db*,3,0.082344
45,*/root/Library/Lockdown/data_ark.plist,1,0.058865
46,**/EngagedCompletions/Cache.db*,1,0.091753
47,*/mobile/Library/Accounts/Accounts3.sqlite*,3,0.002769
48,*/mobile/Containers/Data/Application/*/Documents/PayByPhone.sqlite*,0,0.017575
49,*/AppIntent/local/*,3,1.352036
50,*/mobile/Containers/Shared/AppGroup/*/CallHistory.sqlite*,3,0.002577
51,*/mobile/Containers/Shared/AppGroup/*/ContactsV2.sqlite*,3,0.004266
52,*/mobile/Containers/Shared/AppGroup/*/ChatStorage.sqlite*,3,0.001611
53,*/mobile/Containers/Shared/AppGroup/*/Message/Media/*/*/*/*,8,0.023980
54,**/*-wal,1129,0.409945
55,**/*-journal,35,0.402034
56,*/mobile_installation.log.*,2,1.304315
57,**/MapTiles.sqlitedb*,3,1.334063
58,*/mobile/Library/CallHistoryDB/CallHistory*,6,0.023285
59,*/mobile/Library/CallHistoryDB/call_history.db*,0,0.005536
60,*Media/PhotoData/Photos.sqlite*,3,0.000302
61,*Media/DCIM/*/**,77,1.278889
62,*/PhotoData/Caches/SmartSharing/camera_smart_sharing_metadata.plist,0,0.000357
63,*/System/Library/CoreServices/SystemVersion.plist,1,0.056760
64,*/netusage.sqlite*,3,0.086694
65,*/nanopasses.sqlite3*,0,1.321047
66,*/Cards/*.pkpass/pass.json,1,0.056349
67,*/mobile/Library/com.apple.siri.inference/siriremembers*,2,0.025474
68,*/Biome/streams/restricted/_DKEvent.Carplay.IsConnected/local/*,0,1.322200
69,*/Biome/streams/restricted/_DKEvent.Keybag.IsLocked/local/*,0,1.310150
70,*/Library/Preferences/com.apple.purplebuddy.plist,1,0.059590
71,*/db/dhcpd_leases*,0,1.365113
72,*/mobile/Containers/Shared/AppGroup/*/cores/private/*/attachments/*,2,0.019729
73,*/mobile/Library/Preferences/com.apple.mediaanalysisd.plist,1,0.001507
74,**/mobileactivationd.log*,3,1.357909
75,*/mobile/Containers/Shared/AppGroup/*/com.thetileapp.tile-DiscoveredTileDB.sqlite*,0,0.002147
76,**/PDPlaceCache.db*,3,0.080614
77,*/mobile/Library/Preferences/com.apple.camera.plist,1,0.002589
78,*/Quick Look/cloudthumbnails.db*,0,0.115058
79,*/kik.sqlite*,3,0.087677
80,*/Documents/DCLOG/YSDCLogItem.sqlite*,0,0.101628
81,*/Documents/database.hik*,0,1.352752
82,*/Documents/*/*/*/*.jpg,5,1.361682
83,*/Documents/*/*/*/*.mov,0,1.356579
84,*/Documents/*/*/*/*.mp4,3,1.545740
85,*/mobile/Library/Preferences/com.apple.locationd.plist,1,0.001008
86,*/Shared/AppGroup/*/Library/Preferences/group.com.apple.Maps.plist,1,0.061311
87,*/Containers/Shared/AppGroup/*/.com.apple.mobile_container_manager.metadata.plist,124,0.002921
88,*/Containers/Data/PluginKitPlugin/*/.com.apple.mobile_container_manager.metadata.plist,617,0.062227
89,*/group.ch.protonmail.protonmail.plist,1,0.059435
90,*/ProtonMail.sqlite*,3,0.089700
91,*/Containers/Data/Application/*/tmp/*,351,0.142029
92,*/IMODb2.sqlite*,3,0.083683
93,*/mobile/Containers/Data/Application/*/Library/Caches/videos/*.webp,1,0.141391
94,*/activation_record.plist,1,0.061938
95,*/com.hammerandchisel.discord/fsCachedData/*,13,1.384210
96,*/Library/Caches/com.hackemist.SDImageCache/default/*,1235,1.331819
97,*/Library/Caches/kv-storage/@account*/a*,3,1.284339
98,*/mobile/Library/Photos/Libraries/Application/com.apple.GenerativePlayground/00000000-0000-0000-0000-000000000001.photoslibrary/database/Photos.sqlite*,0,0.000894
99,*/biome/streams/restricted/_DKEvent.Safari.History/local/*,0,1.331152
100,*/lightspeed-userDatabases/*.db*,3,0.107162
101,*/wireless/Library/Databases/CellularUsage.db*,1,0.086947
102,**/Line.sqlite*,3,0.089301
103,*/Preferences/com.apple.MobileBackup.plist,1,0.059462
104,*/iTunes_Control/iTunes/iTunesPrefs,0,0.059969
105,*/mobile/Containers/Data/Application/*/Library/Preferences/com.booking.BookingApp.plist,0,0.008763
106,*/mobile/Containers/Data/Application/*/Library/Application Support/KeyValueStorageAccountDomain*,0,0.144448
107,*/mobile/Containers/Data/Application/*/Library/Application Support/AccountSettings*,0,0.133500
108,*/mobile/Containers/Data/Application/*/Library/Application Support/KeyValueStorageRecentsDomain*,0,0.151833
109,*/mobile/Containers/Data/Application/*/Library/Application Support/BookingClouds*,0,0.150412
110,*/mobile/Containers/Data/Application/*/Library/Application Support/KeyValueStorageSharedDomain*,0,0.131756
111,*/mobile/Containers/Data/Application/*/Library/Application Support/NotificationsModel.sqlite*,0,0.012482
112,*/mobile/Containers/Data/Application/*/Library/Application Support/flight_rs_v2,0,0.005386
113,*/Keychains/com.apple.security.keychain-defaultContext.TrustedPeersHelper.db*,3,0.092922
114,*/mobile/Media/PhotoData/PhotoCloudSharingData/*,39,0.001866
115,*/mobile/Containers/Shared/AppGroup/*/zangidb.sqlite*,0,0.004260
